monotonic,timestamp,url,flag,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8
929840866,1190146243.318,http://upload.wikimedia.org/wikipedia/commons/d/d4/Button_hide.png,-,http://upload.wikimedia.org,wikipedia,commons,d,d4,Button_hide.png,,
929840869,1190146243.322,http://en.wikipedia.org/skins-1.5/monobook/headbg.jpg,-,http://en.wikipedia.org,skins-1.5,monobook,headbg.jpg,,,,
929840870,1190146243.327,http://en.wiktionary.org/wiki/revealed,-,http://en.wiktionary.org,wiki,revealed,,,,,
929840871,1190146243.326,http://en.wikipedia.org/wiki/Beowulf_%282007_film%29,-,http://en.wikipedia.org,wiki,Beowulf_%282007_film%29,,,,,
929840872,1190146243.313,http://pt.wikipedia.org/skins-1.5/common/images/button_sig.png,-,http://pt.wikipedia.org,skins-1.5,common,images,button_sig.png,,,
929840873,1190146243.322,http://es.wikipedia.org/wiki/Cha%C3%AFm_Perelman,-,http://es.wikipedia.org,wiki,Cha%C3%AFm_Perelman,,,,,
929840874,1190146243.299,http://de.wikipedia.org/skins-1.5/monobook/main.css?99,-,http://de.wikipedia.org,skins-1.5,monobook,main.css?99,,,,
929840876,1190146243.319,http://hu.wikipedia.org/skins-1.5/monobook/headbg.jpg,-,http://hu.wikipedia.org,skins-1.5,monobook,headbg.jpg,,,,
929840875,1190146243.301,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/20px-Flag_of_the_United_Kingdom.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,a,ae,Flag_of_the_United_Kingdom.svg,20px-Flag_of_the_United_Kingdom.svg.png
929840877,1190146243.309,http://de.wikipedia.org/wiki/Spezial:Search?search=steuerfreibetrag&go=Artikel&sourceid=mozilla-20,-,http://de.wikipedia.org,wiki,Spezial:Search?search=steuerfreibetrag&go=Artikel&sourceid=mozilla-20,,,,,
929840878,1190146243.328,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Portal.svg/28px-Portal.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,c,c9,Portal.svg,28px-Portal.svg.png
929840883,1190146243.311,http://es.wikipedia.org/w/index.php?title=-&action=raw&gen=js&useskin=monobook,-,http://es.wikipedia.org,w,index.php?title=-&action=raw&gen=js&useskin=monobook,,,,,
929840881,1190146243.309,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Church_in_Kilkenny.jpg/250px-Church_in_Kilkenny.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,0b,Church_in_Kilkenny.jpg,250px-Church_in_Kilkenny.jpg
929840882,1190146243.304,http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/50px-Commons-logo.svg.png,-,http://upload.wikimedia.org,wikipedia,en,thumb,4,4a,Commons-logo.svg,50px-Commons-logo.svg.png
929840879,1190146243.326,http://es.wikipedia.org/favicon.ico,-,http://es.wikipedia.org,favicon.ico,,,,,,
929840880,1190146243.309,http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_NATO.svg/76px-Flag_of_NATO.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,3,37,Flag_of_NATO.svg,76px-Flag_of_NATO.svg.png
929840884,1190146243.321,http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Namib_desert_dunes.jpg/300px-Namib_desert_dunes.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,9,94,Namib_desert_dunes.jpg,300px-Namib_desert_dunes.jpg
929840885,1190146243.302,http://de.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://de.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929840886,1190146243.327,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Plates_tect2_en.svg/180px-Plates_tect2_en.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,8,8a,Plates_tect2_en.svg,180px-Plates_tect2_en.svg.png
929840890,1190146243.432,http://ca.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://ca.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840889,1190146243.335,http://en.wikipedia.org/skins-1.5/common/shared.css?99,-,http://en.wikipedia.org,skins-1.5,common,shared.css?99,,,,
929840888,1190146243.304,http://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Graham_Coxon_What_Ya-Bloody_Annoying_cover.jpg/200px-Graham_Coxon_What_Ya-Bloody_Annoying_cover.jpg,-,http://upload.wikimedia.org,wikipedia,en,thumb,c,cc,Graham_Coxon_What_Ya-Bloody_Annoying_cover.jpg,200px-Graham_Coxon_What_Ya-Bloody_Annoying_cover.jpg
929840891,1190146243.303,http://en.wikipedia.org/images/wiki-en.png,-,http://en.wikipedia.org,images,wiki-en.png,,,,,
929840887,1190146243.313,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/22px-Flag_of_Austria.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,4,41,Flag_of_Austria.svg,22px-Flag_of_Austria.svg.png
929840892,1190146243.33,http://es.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://es.wikipedia.org,w,index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840893,1190146243.314,http://upload.wikimedia.org/wikipedia/es/thumb/3/30/75px-Diagrama_NET.jpg,-,http://upload.wikimedia.org,wikipedia,es,thumb,3,30,75px-Diagrama_NET.jpg,
929840894,1190146243.308,http://en.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://en.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929840898,1190146243.332,http://fr.wikipedia.org/skins-1.5/common/images/magnify-clip.png,-,http://fr.wikipedia.org,skins-1.5,common,images,magnify-clip.png,,,
929840895,1190146243.335,http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/William_Joyce.jpg/250px-William_Joyce.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,5,55,William_Joyce.jpg,250px-William_Joyce.jpg
929840900,1190146243.326,http://en.wikipedia.org/w/opensearch_desc.php,-,http://en.wikipedia.org,w,opensearch_desc.php,,,,,
929840896,1190146243.322,http://en.wikipedia.org/wiki/Special:Random,-,http://en.wikipedia.org,wiki,Special:Random,,,,,
929840899,1190146243.327,http://en.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840897,1190146243.332,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/22px-Flag_of_Germany.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,b,ba,Flag_of_Germany.svg,22px-Flag_of_Germany.svg.png
929840904,1190146243.31,http://sv.wikipedia.org/skins-1.5/monobook/headbg.jpg,-,http://sv.wikipedia.org,skins-1.5,monobook,headbg.jpg,,,,
929840903,1190146243.313,http://fi.wikipedia.org/skins-1.5/monobook/external.png,-,http://fi.wikipedia.org,skins-1.5,monobook,external.png,,,,
929840902,1190146243.308,http://fr.wikipedia.org/skins-1.5/monobook/headbg.jpg,-,http://fr.wikipedia.org,skins-1.5,monobook,headbg.jpg,,,,
929840901,1190146243.335,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Florida.svg/20px-Flag_of_Florida.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,f7,Flag_of_Florida.svg,20px-Flag_of_Florida.svg.png
929840906,1190146243.341,http://es.wikipedia.org/wiki/Rochester_(Minnesota),-,http://es.wikipedia.org,wiki,Rochester_(Minnesota),,,,,
929840905,1190146243.327,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Hurricane_structure_graphic.jpg/250px-Hurricane_structure_graphic.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,a,a9,Hurricane_structure_graphic.jpg,250px-Hurricane_structure_graphic.jpg
929840908,1190146243.314,http://fi.wikipedia.org/skins-1.5/monobook/user.gif,-,http://fi.wikipedia.org,skins-1.5,monobook,user.gif,,,,
929840907,1190146243.317,http://fr.wikipedia.org/w/index.php?title=-&action=raw&gen=js&useskin=monobook,-,http://fr.wikipedia.org,w,index.php?title=-&action=raw&gen=js&useskin=monobook,,,,,
929840909,1190146243.334,http://upload.wikimedia.org/wikipedia/commons/f/f0/China-Guangdong.png,-,http://upload.wikimedia.org,wikipedia,commons,f,f0,China-Guangdong.png,,
929840910,1190146243.315,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Mergefrom.svg/50px-Mergefrom.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,0f,Mergefrom.svg,50px-Mergefrom.svg.png
929840912,1190146243.331,http://upload.wikimedia.org/wikipedia/en/9/9d/Commons-logo-31px.png,-,http://upload.wikimedia.org,wikipedia,en,9,9d,Commons-logo-31px.png,,
929840913,1190146243.35,http://en.wikipedia.org/skins-1.5/monobook/main.css?99,-,http://en.wikipedia.org,skins-1.5,monobook,main.css?99,,,,
929840911,1190146243.343,http://en.wikipedia.org/wiki/hoss_%28professional_wrestling%29,-,http://en.wikipedia.org,wiki,hoss_%28professional_wrestling%29,,,,,
929840914,1190146243.341,http://upload.wikimedia.org/wikipedia/en/1/1b/Hug_MSG_Incident.jpg,-,http://upload.wikimedia.org,wikipedia,en,1,1b,Hug_MSG_Incident.jpg,,
929840915,1190146243.336,http://fr.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://fr.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929840916,1190146243.336,http://en.wikipedia.org/skins-1.5/common/shared.css?99,-,http://en.wikipedia.org,skins-1.5,common,shared.css?99,,,,
929840917,1190146243.338,http://en.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://en.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929840918,1190146243.315,http://it.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://it.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840919,1190146243.327,http://es.wikipedia.org/wiki/Fecundidad,-,http://es.wikipedia.org,wiki,Fecundidad,,,,,
929840920,1190146243.341,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/20px-Flag_of_Sudan.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,01,Flag_of_Sudan.svg,20px-Flag_of_Sudan.svg.png
929840921,1190146243.342,http://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Cumberland_School_of_Law_Classroom.JPG/300px-Cumberland_School_of_Law_Classroom.JPG,-,http://upload.wikimedia.org,wikipedia,en,thumb,6,6d,Cumberland_School_of_Law_Classroom.JPG,300px-Cumberland_School_of_Law_Classroom.JPG
929840922,1190146243.322,http://upload.wikimedia.org/math/8/a/4/8a43df9c1fafad1a5a48a754a71adc0a.png,-,http://upload.wikimedia.org,math,8,a,4,8a43df9c1fafad1a5a48a754a71adc0a.png,,
929840925,1190146243.326,http://sv.wikipedia.org/w/opensearch_desc.php,-,http://sv.wikipedia.org,w,opensearch_desc.php,,,,,
929840923,1190146243.319,http://de.wikipedia.org/skins-1.5/common/images/button_sig.png,-,http://de.wikipedia.org,skins-1.5,common,images,button_sig.png,,,
929840926,1190146243.325,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Old_man_on_tonle_sap.jpg/240px-Old_man_on_tonle_sap.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,ee,Old_man_on_tonle_sap.jpg,240px-Old_man_on_tonle_sap.jpg
929840924,1190146243.324,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/140px-Flag_of_Cambodia.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,8,83,Flag_of_Cambodia.svg,140px-Flag_of_Cambodia.svg.png
929840927,1190146243.327,http://de.wikipedia.org/w/extensions/wikihiero/img/hiero_V31.png,-,http://de.wikipedia.org,w,extensions,wikihiero,img,hiero_V31.png,,
929840929,1190146243.325,http://de.wikipedia.org/skins-1.5/monobook/headbg.jpg,-,http://de.wikipedia.org,skins-1.5,monobook,headbg.jpg,,,,
929840928,1190146243.314,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_South_Africa_1928-1994.svg/50px-Flag_of_South_Africa_1928-1994.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,6,67,Flag_of_South_Africa_1928-1994.svg,50px-Flag_of_South_Africa_1928-1994.svg.png
929840932,1190146243.32,http://en.wikipedia.org/skins-1.5/common/shared.css?99,-,http://en.wikipedia.org,skins-1.5,common,shared.css?99,,,,
929840930,1190146243.32,http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&smaxage=21600&maxage=86400,-,http://meta.wikimedia.org,w,index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text,javascript&smaxage=21600&maxage=86400,,,,
929840931,1190146243.349,http://en.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840933,1190146243.326,http://pt.wikipedia.org/wiki/Especial:Search?search=amianto,-,http://pt.wikipedia.org,wiki,Especial:Search?search=amianto,,,,,
929840934,1190146243.323,http://de.wikipedia.org/skins-1.5/common/images/magnify-clip.png,-,http://de.wikipedia.org,skins-1.5,common,images,magnify-clip.png,,,
929840935,1190146243.323,http://de.wikipedia.org/skins-1.5/common/shared.css?99,-,http://de.wikipedia.org,skins-1.5,common,shared.css?99,,,,
929840936,1190146243.324,http://en.wikipedia.org/w/index.php?title=Special:Upload&uselang=fromowner,-,http://en.wikipedia.org,w,index.php?title=Special:Upload&uselang=fromowner,,,,,
929840937,1190146243.343,http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/LocationBelize.svg/250px-LocationBelize.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,d,da,LocationBelize.svg,250px-LocationBelize.svg.png
929840938,1190146243.353,http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&smaxage=21600&maxage=86400,-,http://meta.wikimedia.org,w,index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text,javascript&smaxage=21600&maxage=86400,,,,
929840939,1190146243.337,http://upload.wikimedia.org/wikipedia/en/1/18/Monobook-bullet.png,-,http://upload.wikimedia.org,wikipedia,en,1,18,Monobook-bullet.png,,
929840940,1190146243.344,http://en.wikipedia.org/skins-1.5/common/images/poweredby_mediawiki_88x31.png,-,http://en.wikipedia.org,skins-1.5,common,images,poweredby_mediawiki_88x31.png,,,
929840942,1190146243.344,http://en.wikipedia.org/skins-1.5/monobook/user.gif,-,http://en.wikipedia.org,skins-1.5,monobook,user.gif,,,,
929840941,1190146243.323,http://upload.wikimedia.org/math/9/7/3/97353428eb60cfeb61eaf57f66d00257.png,-,http://upload.wikimedia.org,math,9,7,3,97353428eb60cfeb61eaf57f66d00257.png,,
929840943,1190146243.346,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Rod_of_asclepius.png/15px-Rod_of_asclepius.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,3,3d,Rod_of_asclepius.png,15px-Rod_of_asclepius.png
929840944,1190146243.33,http://fr.wikipedia.org/skins-1.5/common/shared.css?99,-,http://fr.wikipedia.org,skins-1.5,common,shared.css?99,,,,
929840945,1190146243.361,http://upload.wikimedia.org/wikipedia/en/b/bf/Wikispecies-logo-35px.png,-,http://upload.wikimedia.org,wikipedia,en,b,bf,Wikispecies-logo-35px.png,,
929840946,1190146243.327,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/22px-Flag_of_Russia.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,f3,Flag_of_Russia.svg,22px-Flag_of_Russia.svg.png
929840949,1190146243.351,http://de.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://de.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840952,1190146243.359,http://www.wikipedia.com/,-,http://www.wikipedia.com,,,,,,,
929840947,1190146243.334,http://upload.wikimedia.org/wikipedia/en/thumb/2/2b/EdEddEddyseason1DVD.jpg/80px-EdEddEddyseason1DVD.jpg,-,http://upload.wikimedia.org,wikipedia,en,thumb,2,2b,EdEddEddyseason1DVD.jpg,80px-EdEddEddyseason1DVD.jpg
929840950,1190146243.344,http://en.wikipedia.org/wiki/Uncle_Tupelo,-,http://en.wikipedia.org,wiki,Uncle_Tupelo,,,,,
929840951,1190146243.326,http://pt.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://pt.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929840948,1190146243.337,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/1968_Olympic_games_countries.PNG/240px-1968_Olympic_games_countries.PNG,-,http://upload.wikimedia.org,wikipedia,commons,thumb,2,29,1968_Olympic_games_countries.PNG,240px-1968_Olympic_games_countries.PNG
929840953,1190146243.347,http://en.wikipedia.org/skins-1.5/monobook/bullet.gif,-,http://en.wikipedia.org,skins-1.5,monobook,bullet.gif,,,,
929840954,1190146243.346,http://en.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://en.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840955,1190146243.329,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Dover_%28banda%29.jpg/250px-Dover_%28banda%29.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,5,5b,Dover_%28banda%29.jpg,250px-Dover_%28banda%29.jpg
929840956,1190146243.331,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/PERU_MAPA_1865.JPG/250px-PERU_MAPA_1865.JPG,-,http://upload.wikimedia.org,wikipedia,commons,thumb,6,6a,PERU_MAPA_1865.JPG,250px-PERU_MAPA_1865.JPG
929840957,1190146243.332,http://upload.wikimedia.org/wikipedia/commons/6/64/LocationCambodia.png,-,http://upload.wikimedia.org,wikipedia,commons,6,64,LocationCambodia.png,,
929840958,1190146243.335,http://upload.wikimedia.org/wikipedia/de/b/bc/Wiki.png,-,http://upload.wikimedia.org,wikipedia,de,b,bc,Wiki.png,,
929840959,1190146243.361,http://hi.wikipedia.org/wiki/,-,http://hi.wikipedia.org,wiki,,,,,,
929840960,1190146243.337,http://de.wikipedia.org/skins-1.5/monobook/main.css?99,-,http://de.wikipedia.org,skins-1.5,monobook,main.css?99,,,,
929840961,1190146243.332,http://pl.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://pl.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840962,1190146243.353,http://en.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840963,1190146243.349,http://en.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840964,1190146243.357,http://upload.wikimedia.org/wikipedia/commons/7/74/Wikipedia-logo-es.png,-,http://upload.wikimedia.org,wikipedia,commons,7,74,Wikipedia-logo-es.png,,
929840965,1190146243.334,http://pl.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://pl.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840966,1190146243.36,http://upload.wikimedia.org/wikipedia/commons/d/d8/90_mile_beach02.jpg,-,http://upload.wikimedia.org,wikipedia,commons,d,d8,90_mile_beach02.jpg,,
929840967,1190146243.336,http://en.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://en.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840971,1190146243.335,http://de.wikipedia.org/wiki/Tuberkulose,-,http://de.wikipedia.org,wiki,Tuberkulose,,,,,
929840970,1190146243.358,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/P_literature.svg/25px-P_literature.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,1,1d,P_literature.svg,25px-P_literature.svg.png
929840968,1190146243.477,http://ja.wikipedia.org/skins-1.5/common/wikibits.js?99,-,http://ja.wikipedia.org,skins-1.5,common,wikibits.js?99,,,,
929840969,1190146243.34,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Cathedral_of_Toledo-Spain.jpg/180px-Cathedral_of_Toledo-Spain.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,5,56,Cathedral_of_Toledo-Spain.jpg,180px-Cathedral_of_Toledo-Spain.jpg
929840972,1190146243.359,http://en.wiktionary.org/wiki/Wiktionary:Main_Page,-,http://en.wiktionary.org,wiki,Wiktionary:Main_Page,,,,,
929840973,1190146243.339,http://upload.wikimedia.org/wikipedia/en/thumb/8/80/SaoPedroeSaoPaulo1.jpg/250px-SaoPedroeSaoPaulo1.jpg,-,http://upload.wikimedia.org,wikipedia,en,thumb,8,80,SaoPedroeSaoPaulo1.jpg,250px-SaoPedroeSaoPaulo1.jpg
929840975,1190146243.347,http://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Mb044c.gif/25px-Mb044c.gif,-,http://upload.wikimedia.org,wikipedia,en,thumb,d,d5,Mb044c.gif,25px-Mb044c.gif
929840974,1190146243.364,http://en.wikipedia.org/wiki/Special:Search?search=Family+Guy&go=Go,-,http://en.wikipedia.org,wiki,Special:Search?search=Family+Guy&go=Go,,,,,
929840976,1190146243.327,http://en.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://en.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929840977,1190146243.337,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Full_Moon_Luc_Viatour.jpg/105px-Full_Moon_Luc_Viatour.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,d,dd,Full_Moon_Luc_Viatour.jpg,105px-Full_Moon_Luc_Viatour.jpg
929840978,1190146243.341,http://de.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://de.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929840979,1190146243.337,http://en.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929840980,1190146243.373,http://en.wikipedia.org/w/index.php?title=-&action=raw&gen=js&useskin=monobook,-,http://en.wikipedia.org,w,index.php?title=-&action=raw&gen=js&useskin=monobook,,,,,
929840982,1190146243.341,http://en.wikipedia.org/wiki/Germany,-,http://en.wikipedia.org,wiki,Germany,,,,,
929840983,1190146243.364,http://en.wikipedia.org/skins-1.5/common/metadata.js?99,-,http://en.wikipedia.org,skins-1.5,common,metadata.js?99,,,,
929840981,1190146243.344,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Macintosh_128k_transparency.png/250px-Macintosh_128k_transparency.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,e3,Macintosh_128k_transparency.png,250px-Macintosh_128k_transparency.png
929840985,1190146243.398,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Disambig.svg/25px-Disambig.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,7,72,Disambig.svg,25px-Disambig.svg.png
929840987,1190146243.363,http://en.wikipedia.org/skins-1.5/common/wikibits.js?99,-,http://en.wikipedia.org,skins-1.5,common,wikibits.js?99,,,,
